title,authors,rating,year,month,day
A Jockey's Life: The Biography of Lester Piggott,Dick Francis,3.59,1987,7,12
A Killing Rain (Louis Kincaid  #6),P.J. Parrish,4.04,2005,2,1
A Killing in Comics (Jack & Maggie Starr  #1),Max Allan Collins/Terry Beatty,3.65,2007,5,1
A Kiss Before Dying,Ira Levin/Otto Penzler,3.94,2003,4,7
A Kiss Before Dying (Sweet Valley High  #122),Francine Pascal/Kate William,3.67,1996,2,1
A Kiss Remembered,Erin St. Claire/Sandra Brown,3.47,2003,4,1
A Kiss to Remember (Once Upon a Time  #3),Teresa Medeiros,3.89,2002,4,30
A Lady At Last (deWarenne Dynasty  #7),Brenda Joyce,4.06,2006,11,21
A Lesson Before Dying,Ernest J. Gaines,3.95,1997,9,28
A Lie and a Libel: The History of the Protocols of the Elders of Zion,Binjamin W. Segel/Richard S. Levy/Sergei Nilus,3.3,1996,8,1
A Life in Letters,F. Scott Fitzgerald/Matthew J. Bruccoli,4.22,1995,5,3
A Light in the Attic,Shel Silverstein,4.34,2002,10,7
A Light in the Attic (Book & CD),Shel Silverstein,4.34,2001,10,9
A Little Bit Wicked (Last Man Standing  #1),Victoria Alexander,3.8,2006,12,26
A Little House Birthday,Laura Ingalls Wilder/Doris Ettlinger,4.14,1998,9,5
A Little House Traveler: Writings from Laura Ingalls Wilder's Journeys Across America,Laura Ingalls Wilder,4.13,2006,2,7
A Little Prairie House,Laura Ingalls Wilder/Renée Graef,4.19,1999,3,21
A Little Princess,Frances Hodgson Burnett/Scott McKowen,4.2,2004,10,1
A Little Princess,Tania Zamorsky/Frances Hodgson Burnett/Lucy Corvino/Arthur Pober,4.16,2005,3,1
A Little Princess,Frances Hodgson Burnett/Nancy Bond,4.2,2002,2,26
A Lloyd Alexander Collection,Lloyd Alexander,4.24,2001,5,21
A Long Shadow (Inspector Ian Rutledge  #8),Charles Todd,4.11,2006,1,3
A Long Short War: The Postponed Liberation of Iraq,Christopher Hitchens,3.75,2003,6,3
A Long Way Down,Nick Hornby,3.42,2006,5,2
A Long Way Gone: Memoirs of a Boy Soldier,Ishmael Beah,4.16,2007,2,13
A Long Way from Chicago (A Long Way from Chicago  #1),Richard Peck,3.94,2004,4,12
A Long Way from Chicago (Saddleback's Focus on Reading Study Guides),Lisa S.  French,4.0,2006,8,5
A Mad People's History of Madness,Dale Peterson,4.33,1982,3,15
A Madman Dreams of Turing Machines,Janna Levin,3.68,2006,8,22
A Magic Crystal? (Marvin Redpost),Louis Sachar,3.76,2005,5,2
A Magic-Lover's Treasury of the Fantastic,Margaret Weis/Ursula K. Le Guin/Roger Zelazny/Christopher Stasheff/Mercedes Lackey/Ray Bradbury/Andre Norton/Jack Vance/Raymond E. Feist/C.J. Cherryh/Fritz Leiber/Melanie Rawn/Marion Zimmer Bradley/Larry Niven/Zenna Henderson/Greg Bear/Orson Scott Card/Katherine Kurtz/Joe Haldeman/Robert Silverberg/F. Paul Wilson/Keith Birdsong,3.58,1998,1,1
A Man Rides Through (Mordant's Need  #2),Stephen R. Donaldson,4.02,2003,6,3
A Man Without a Country,Kurt Vonnegut Jr./Daniel Simon,4.07,2007,1,16
A Man of the People,Chinua Achebe,3.87,2016,8,16
A Man's Protection,Jayne Castle/Jayne Ann Krentz,3.88,1982,12,31
A Manual for Living,Epictetus/Sharon Lebell,4.23,1994,6,23
A Map of the World,Jane Hamilton/Frank  Muller/C.J. Critt,3.81,1999,12,3
A Matter Of Trust,Deb Stover,3.31,2000,1,1
A Matter of Trust,Penny Jordan,2.61,1994,12,23
A Matter of Trust (Justice  #0),Radclyffe,4.21,2006,2,1
A Matter of Trust: The Case of the Mesmerizing Boss / The Case of the Confirmed Bachelor,Diana Palmer,4.04,2005,12,27
A Memoir of Jane Austen and Other Family Recollections,J.E. Austen Leigh/Caroline Austen/Henry Austen/Anna Austen Lefroy/Kathryn Sutherland,3.83,2002,12,5
A Midsummer Night's Dream,William Shakespeare/Amanda Root/Arkangel Cast/Roy Hudd/David Harewood,3.94,2005,5,3
A Midsummer Night's Dream,William Shakespeare/Roma Gill/B. Litt,3.94,2005,7,28
A Midsummer Night's Dream,William Shakespeare/Roma Gill,3.94,2002,8,15
A Midsummer Night's Dream,William Shakespeare/Harold F. Brooks,3.94,1979,9,6
A Midsummer Night's Dream,William Shakespeare,3.94,1998,5,1
A Midsummer Night's Dream,William Shakespeare/R.A. Foakes,3.94,2003,4,28
A Midsummer Night's Dream,William Shakespeare/Stephen Orgel/A.R. Braunmuller/Russ McDonald,3.94,2000,8,1
A Midsummer Night's Dream (SparkNotes Literature Guide),SparkNotes/William Shakespeare,3.96,2002,1,10
A Midwife's Story,Sheryl Feldman/Penny Armstrong,4.07,2007,4,1
A Midwife's Tale: The Life of Martha Ballard  Based on Her Diary  1785-1812,Laurel Thatcher Ulrich,4.01,1991,12,22
A Million Little Lies,James Pinocchio/Pablo Fenjves,3.41,2006,3,28
A Million Little Pieces,James Frey,3.65,2005,9,22
A Million Little Pieces of Feces,Python Bonkers,3.56,2006,2,10
A Mind To Murder (Adam Dalgliesh  #2),P.D. James,3.82,2002,5,20
A Modern Utopia,H.G. Wells/Gregory Claeys/Francis Wheen,3.45,2006,3,31
A Modest Proposal and Other Satirical Works,Jonathan Swift,4.05,1996,2,2
A Mortal Bane (Magdalene La Batarde  #1),Roberta Gellis,3.9,2001,9,17
A Moveable Feast,Ernest Hemingway,4.04,2012,9,6
A Mulligan for Bobby Jobe: A Novel,Bob Cullen,3.32,2002,5,7
A Multitude of Sins,Richard Ford,3.75,2003,2,4
A Murder Is Announced (Miss Marple  #5),Agatha Christie,3.98,2006,9,30
A Near Thing for Captain Najork (Captain Najork #2),Russell Hoban/Quentin Blake,4.18,2006,10,1
A New Collection of Three Complete Novels: Congo / Sphere / Eaters of the Dead,Michael Crichton,3.99,1994,3,6
A New History of Early English Drama,John D. Cox/David Scott Kastan/Stephen Greenblatt,4.05,1997,8,15
A New Hope: The Illustrated Screenplay (Star Wars  Episode IV),George Lucas,4.23,1998,3,24
A New Leash on Death (A Dog Lover's Mystery  #1),Susan Conant,3.79,1994,4,1
A Nose for Murder (Jack and Jamie #1),Lee Charles Kelley,3.52,2003,3,1
A Note Slipped Under the Door: Teaching from Poems We Love,Nick Flynn/Shirley McPhillips/Philippa Stratton,4.12,2000,1,1
A Painted House,John Grisham,3.7,2004,2,3
A Painted House,John Grisham,3.7,2002,9,29
A Pale View of Hills,Kazuo Ishiguro,3.74,2005,3,3
A Parchment of Leaves,Silas House,4.18,2003,8,26
A Passage to India,E.M. Forster/Oliver Stallybrass/Pankaj Mishra,3.68,2005,8,30
A Passage to India,E.M. Forster,3.68,1998,9,3
A Passage to India: A Reader's Guide to Essential Criticism,Betty Jay,3.56,2003,8,16
A Patchwork Planet,Anne Tyler,3.79,2001,5,1
A People's History of the United States,Howard Zinn,4.08,2005,8,2
A People's History of the United States,Howard Zinn/Kathy Emery/Ellen Gordon Reeves,4.08,2003,7,1
A People's History of the United States: The Civil War to the Present,Howard Zinn/Kathy Emery/Ellen Gordon Reeves,4.0,2003,8,1
A People's Tragedy: The Russian Revolution: 1891-1924,Orlando Figes,4.31,1998,3,1
A Perfect Vacuum,Stanisław Lem/Michael Kandel,4.18,1999,11,25
A Personal Matter,Kenzaburō Ōe/John Nathan,3.89,1994,1,13
A Philosophical Enquiry into the Origin of our Ideas of the Sublime and Beautiful,Edmund Burke/Adam Phillips,3.76,1998,11,19
A Picture Book of Anne Frank,David A. Adler/Karen Ritz,4.18,1993,1,1
A Picture Book of Thomas Jefferson (Picture Book Biographies) (Picture Book Biography),David A. Adler/John Wallner/Alexandra Wallner,3.75,1991,3,1
A Pinch of Poison (Hemlock Falls Mysteries  #3),Claudia Bishop,3.57,1995,12,1
A Pinch of Snuff (Dalziel & Pascoe  #5),Reginald Hill,3.84,1990,7,1
A Pirate Looks at Fifty,Jimmy Buffett/Leona Nevler,3.83,1999,11,28
A Place So Foreign and Eight More,Cory Doctorow/Bruce Sterling,3.72,2003,9,8
A Place Where the Sea Remembers,Sandra Benítez,3.62,1995,2,5
A Pocket Full of Rye: A BBC Radio 4 Full-Cast Dramatisation,Agatha Christie/Michael Bakewell/June Whitfield/Nicky Henson/Derek Waring/Natasha Pyne,3.86,2014,4,1
A Portrait of the Artist As a Young Man,James Joyce/Walter Hettche/Hans Walter Gabler/John Paul Riquelme/John Mitchel/Michael Davitt/Canon  Doyle/Pádraic Pearse/Ignatius of Loyola/Giovanni Pietro Pinamont/Walter Pater/Oscar Wilde/Douglas Hyde/Kenneth Burke/Umberto Eco/Hugh Kenner/Hélène Cixous/Karen Lawrence/Maud Ellmann/Bonnie Kime Scott/Joseph Valente/Marian Eide/Pericles Lewis/Jonathan Mulrooney/J.M. Synge,3.61,2007,5,1
A Portrait of the Artist as a Young Man,James Joyce/Langdon Hammer,3.61,2006,6,6
A Portrait of the Artist as a Young Man,James Joyce/Seamus Deane,3.61,2003,3,25
A Portrait of the Artist as a Young Man,James Joyce/Jim Norton,3.61,2005,8,1
A Power Governments Cannot Suppress,Howard Zinn,4.27,2006,12,1
A Practical Guide to Dragons,Lisa Trumbauer/Emily Fiegenshuh,4.33,2006,9,26
A Prayer for Owen Meany,John Irving,4.23,2002,6,4
A Preface to Democratic Theory,Robert A. Dahl,3.63,2006,9,15
A Primate's Memoir: A Neuroscientist's Unconventional Life Among the Baboons,Robert M. Sapolsky,4.35,2002,3,12
A Princess of Mars (Barsoom  #1),Edgar Rice Burroughs/John Seelye,3.81,2007,1,30
A Quantum Murder (Greg Mandel  #2),Peter F. Hamilton,3.97,1998,6,15
A Quick Bite (Argeneau #1),Lynsay Sands,3.91,2020,3,31
A Quiver Full of Arrows,Jeffrey Archer,3.78,2005,8,30
A Random Walk Down Wall Street,Burton G. Malkiel,4.1,2003,4,17
A Random Walk Down Wall Street,Burton G. Malkiel/Christopher Flavin,4.1,1985,1,1
A Reader's Digest Songbook: Remembering Yesterday's Hits,William L. Simon,4.38,1987,10,1
A Reading Guide to Island of the Blue Dolphins,Patricia McHugh,3.89,2003,7,1
A Redwall Winter's Tale,Brian Jacques/Christopher Denise,4.13,2004,10,21
A Ring of Endless Light (Austin Family  #4),Madeleine L'Engle,4.15,1995,9,1
A River Runs Through It,Norman Maclean/Barry Moser,4.17,1989,5,15
A River Runs Through it and Other Stories,Norman Maclean/Annie Proulx,4.18,2001,10,1
A Robin McKinley Collection: Spindle's End  The Hero and the Crown and The Blue Sword (Folktales #1-3),Robin McKinley,4.39,2002,9,16
A Room of One's Own,Virginia Woolf,4.14,2000,1,1
A Room of One's Own,Virginia Woolf/Mark Hussey/Susan Gubar,4.14,2005,8,1
A Room of One's Own,Virginia Woolf,4.14,1994,12,1
A Room with a View,E.M. Forster,3.91,2005,1,1
A Room with a View / Howards End,E.M. Forster/Benjamin DeMott,4.1,1986,2,4
A Rose for the Crown,Anne Easter Smith,4.02,2006,3,14
A Savage War of Peace: Algeria  1954-1962,Alistair Horne,4.23,2006,10,10
A Scandalous Life: The Biography of Jane Digby,Mary S. Lovell,4.02,2003,6,2
A Scanner Darkly,Philip K. Dick,4.02,2006,8,17
A Search for What Makes Sense: Finding Faith,Brian D. McLaren/Steve Chalke,3.59,2007,2,11
A Secret Splendor,Erin St. Claire/Sandra Brown,3.66,2006,2,28
A Secret Splendor,Erin St. Claire/Sandra Brown,3.66,1996,1,1
A Sentimental Education,Gustave Flaubert/Douglas Parmée,3.83,2000,5,18
A Separate Peace,John Knowles/David Levithan,3.57,2003,9,30
A Separate War and Other Stories,Joe Haldeman/Connie Willis,3.68,2006,8,1
